rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
59,وَهُوَ,169,dan Dia,120,dan ia (saudara laki-laki),1,dan Dia,dan dia,outside_policy | parenthetical | long_gloss,90.30,4:176:19,And he,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
60,وَهُوَ,169,dan Dia,120,dan ia/Al Qur'an,1,dan Dia,dan dia,outside_policy | slash_gloss | long_gloss,90.30,41:44:23,and it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
61,وَلَقَدۡ,115,dan sesungguhnya,112,dan/padahal sesungguhnya,1,dan sesungguhnya,,outside_policy | slash_gloss,90.22,9:74:5,while certainly,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
62,ظَلَمُواْ,27,(mereka) zalim,19,mereka berbuat kezaliman,1,(mereka) zalim,,outside_policy | long_gloss | entity_or_pronoun_shift,90.11,10:13:7,they wronged,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
63,ظَلَمُواْ,27,(mereka) zalim,19,mereka berbuat zalim,1,(mereka) zalim,,outside_policy | long_gloss | entity_or_pronoun_shift,90.11,18:59:5,they wronged,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
64,وَعَمِلُواْ,53,dan mereka beramal,23,dan (mereka) beramal,1,dan mereka beramal,dan beramal | dan mereka berbuat/beramal,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,90.02,2:277:4,and did,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
65,فِيهَا,183,di dalamnya,128,darinya (hasil harta itu),1,di dalamnya,ke dalamnya | padanya,outside_policy | parenthetical | long_gloss,89.98,4:5:11,with it,Kekalkan gloss lokatif sebagai default.
66,فِيهَا,183,di dalamnya,128,ke dalamnya (dalam neraka),1,di dalamnya,ke dalamnya | padanya,outside_policy | parenthetical | long_gloss,89.98,26:94:2,into it,Kekalkan gloss lokatif sebagai default.
67,فِيهَا,183,di dalamnya,128,padanya (di dunia),1,di dalamnya,ke dalamnya | padanya,outside_policy | parenthetical | long_gloss,89.98,17:18:7,in it,Kekalkan gloss lokatif sebagai default.
68,فِيهَا,183,di dalamnya,128,padanya/pada waktu itu,1,di dalamnya,ke dalamnya | padanya,outside_policy | slash_gloss | long_gloss,89.98,69:7:10,therein,Kekalkan gloss lokatif sebagai default.
69,لَمۡ,89,tidak,62,(mereka) belum,1,tidak,,outside_policy | parenthetical | entity_or_pronoun_shift,89.90,24:58:9,(have) not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
70,وَٱلَّذِينَ,163,dan orang-orang yang,157,dan orang yang pergi,1,dan orang-orang yang,,outside_policy | long_gloss,89.90,70:29:1,And those who,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
71,وَٱلَّذِينَ,163,dan orang-orang yang,157,dan orang-oarng yang,1,dan orang-orang yang,,outside_policy | long_gloss,89.90,4:38:1,And those who,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
72,بَيۡنَهُمۡ,25,di antara mereka,24,antara mereka,1,di antara mereka,,outside_policy | entity_or_pronoun_shift,89.80,34:18:2,between them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
73,ٱلۡمَصِيرُ,23,tempat kembali,22,kami kembali,1,tempat kembali,,outside_policy | entity_or_pronoun_shift,89.70,60:4:52,(is) the final return,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
74,يَرۡجِعُونَ,16,mereka kembali,11,(mereka) kembali,1,mereka kembali,,outside_policy | parenthetical | entity_or_pronoun_shift,89.62,3:72:17,return,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
75,يَرۡجِعُونَ,16,mereka kembali,11,mereka akan kembali,1,mereka kembali,,outside_policy | long_gloss | entity_or_pronoun_shift,89.62,2:18:6,[they] will not return,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
76,يَرۡجِعُونَ,16,mereka kembali,11,mereka akan menyembah,1,mereka kembali,,outside_policy | long_gloss | entity_or_pronoun_shift,89.62,36:31:11,will not return,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
77,عَلَيۡهِ,131,atasnya,90,kepadanya (Nabi),1,atasnya,atasnya/kepadanya,outside_policy | parenthetical | entity_or_pronoun_shift,89.61,66:3:13,to him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
78,عَلَيۡهِ,131,atasnya,90,kepadanya (Yusuf),1,atasnya,atasnya/kepadanya,outside_policy | parenthetical | entity_or_pronoun_shift,89.61,12:88:3,upon him,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
79,فَإِن,64,maka jika,61,maka sesungguhnya hanyalah,1,maka jika,,outside_policy | long_gloss,89.59,64:12:5,but if,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
80,فَإِن,64,maka jika,61,maka/kemudian jika,1,maka jika,,outside_policy | slash_gloss,89.59,2:230:12,Then if,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
81,فَلَن,19,maka tidak,13,maka (hal itu) tidak,1,maka tidak,,outside_policy | parenthetical | long_gloss,89.53,3:144:21,then never,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
82,مِّنكُمۡ,22,di antara kamu,15,dari antara kamu sendiri,1,di antara kamu,,outside_policy | long_gloss | entity_or_pronoun_shift,89.45,6:130:7,from (among) you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
83,ٱعۡبُدُواْ,17,sembahlah,16,kamu menyembah,1,sembahlah,,outside_policy | entity_or_pronoun_shift,89.24,71:3:2,Worship,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
84,تُكَذِّبَانِ,31,kamu berdua dustakan,29,kamu dustakan,1,kamu berdua dustakan,,outside_policy | entity_or_pronoun_shift,89.06,55:77:4,will you both deny,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
85,عَلَيۡهِمُ,31,atas mereka,29,mereka,1,atas mereka,,outside_policy | entity_or_pronoun_shift,89.06,5:23:10,upon them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
86,بِأَنَّهُمۡ,24,kerana sesungguhnya mereka,16,dengan sebab mereka,1,kerana sesungguhnya mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,89.00,2:275:15,(is) because they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
87,بِأَنَّهُمۡ,24,kerana sesungguhnya mereka,16,disebabkan mereka benar-benar,1,kerana sesungguhnya mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,89.00,5:58:9,(is) because they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
88,سَمِيعٌ,15,Maha Mendengar,14,Allah,1,Maha Mendengar,,outside_policy | entity_or_pronoun_shift,89.00,2:181:13,(is) All-Hearing,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
89,فَهُمۡ,33,maka mereka,22,maka bagi mereka,1,maka mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,89.00,4:12:70,then they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
90,فَهُمۡ,33,maka mereka,22,maka/kerana mereka,1,maka mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,89.00,9:87:9,so they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
91,فَهُمۡ,33,maka mereka,22,maka/lalu mereka,1,maka mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,89.00,27:17:8,and they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
92,وَجَعَلۡنَا,36,dan Kami jadikan,24,dan Kami telah jadikan,1,dan Kami jadikan,,outside_policy | long_gloss | entity_or_pronoun_shift,89.00,6:6:20,and We made,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
93,وَجَعَلۡنَا,36,dan Kami jadikan,24,dan telah kami jadikan,1,dan Kami jadikan,,outside_policy | long_gloss | entity_or_pronoun_shift,89.00,21:32:1,And We made,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
94,يَسۡمَعُونَ,18,mereka mendengar,12,mereka dapat mendengar,1,mereka mendengar,,outside_policy | long_gloss | entity_or_pronoun_shift,89.00,7:100:19,hear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
95,ٱلۡمُشۡرِكِينَ,24,orang-orang musyrik,16,(golongan) orang musyrik,1,orang-orang musyrik,,outside_policy | parenthetical | long_gloss,89.00,2:135:15,those who associated partners (with Allah),Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
96,لَهُمۡ,204,bagi mereka,135,ada pada mereka,1,bagi mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,88.85,8:34:2,(is) for them,Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
97,إِنَّهُمۡ,54,sesungguhnya mereka,50,bahawasanya mereka,1,sesungguhnya mereka,,outside_policy | entity_or_pronoun_shift,88.78,9:42:22,"(that) indeed, they",Gunakan gloss dominan Quranic sebagai default. Override hanya bila struktur sintaks jelas memaksa makna lain.
98,وَيَوۡمَ,44,dan pada hari,29,dan hari/di waktu,1,dan pada hari,,outside_policy | slash_gloss | long_gloss,88.77,16:80:16,and the day,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
99,إِلَّا,562,kecuali,366,di antara kami,1,kecuali,hanyalah | melainkan | selain,outside_policy | long_gloss | entity_or_pronoun_shift,88.54,37:164:2,among us,Kekalkan pengecualian sebagai sense utama.
100,عَلَيۡنَا,40,atas kami,26,atas kita/kami,1,atas kami,,outside_policy | slash_gloss | entity_or_pronoun_shift,88.50,37:31:2,against us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
101,عَلَيۡنَا,40,atas kami,26,atas/terhadap kami,1,atas kami,,outside_policy | slash_gloss | entity_or_pronoun_shift,88.50,17:73:9,about Us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
102,فَبِأَيِّ,35,maka yang mana,32,maka dengan yang mana,1,maka yang mana,,outside_policy | long_gloss,88.43,45:6:7,Then in what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
103,فَٱتَّقُواْ,17,maka bertakwalah kamu,11,maka takutlah kamu,1,maka bertakwalah kamu,,outside_policy | long_gloss | entity_or_pronoun_shift,88.41,2:24:6,then fear,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
104,تَعۡمَلُونَ,82,kamu kerjakan,74,kamu berbuat,1,kamu kerjakan,,outside_policy | entity_or_pronoun_shift,88.07,10:14:10,you do,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
105,وَٱلۡأَرۡضِۖ,19,dan bumi,17,dan di bumi,1,dan bumi,,outside_policy | long_gloss,87.84,30:26:5,and the earth,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
106,بِهَا,51,dengannya,32,padanya (perkara itu),1,dengannya,,outside_policy | parenthetical | long_gloss,87.82,6:89:13,it,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
107,وَلِلَّهِ,25,dan milik Allah,9,dan bagi/terhadap Allah,1,dan milik Allah,,outside_policy | slash_gloss | long_gloss | entity_or_pronoun_shift,87.80,3:97:10,And (due) to Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
