category,severity,key,token,current_bm,suggested_bm,english,note
double_meaning_policy,medium,29:51:10,فِي,dalam/demikian,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,29:65:3,فِي,di dalam/di atas,dalam,[in],Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:130:6,إِلَّا,kecuali/hanyalah,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,2:137:6,بِهِۦ,dengannya/kepadanya,dengannya,in [it],Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,2:143:19,إِلَّا,kecuali/melainkan,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,2:144:16,مَا,apa/saja,apa,that,Defaultkan kepada `apa`. Tukar hanya bila sintaks jelas menunjukkan partikel nafi atau kata hubung relatif.
double_meaning_policy,medium,2:144:5,فِي,di/ke,dalam,towards,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:164:2,فِي,dalam/pada,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:171:10,إِلَّا,kecuali/selain,kecuali,except,Kekalkan pengecualian sebagai sense utama.
double_meaning_policy,medium,2:171:7,بِمَا,dengan/kepada apa,dengan apa,at what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,2:176:10,فِي,di dalam/tentang,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:189:5,هِيَ,ia (bulan sabit),ia,They,Pronomina feminin; jangan tambah frasa penjelas kecuali perlu.
double_meaning_policy,medium,2:195:2,فِي,di/pada,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:195:8,إِلَى,kepada/ke dalam,kepada,into,Defaultkan kepada `kepada`.
double_meaning_policy,medium,2:196:39,إِلَى,kepada (sebelum),kepada,followed,Defaultkan kepada `kepada`.
double_meaning_policy,medium,2:222:5,هُوَ,ia (haid),Dia,It,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,2:233:13,لَهُۥ,baginya (ayah),baginya,(on) him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,2:237:15,أَن,bahawa/jika,bahawa,[that],Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,2:240:9,إِلَى,sampai/hingga,kepada,for,Defaultkan kepada `kepada`.
double_meaning_policy,medium,2:241:5,عَلَى,atas/bagi,atas,upon,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,2:256:3,فِي,dalam/untuk,dalam,in,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:258:7,فِي,dalam/tentang,dalam,concerning,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,2:266:5,لَهُۥ,baginya/ mempunyai,baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,2:271:18,بِمَا,dengan/tentang apa,dengan apa,with what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,2:273:29,بِهِۦ,dengannya/padanya,dengannya,of it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
double_meaning_policy,medium,2:27:13,أَن,bahawa/untuk,bahawa,to,Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
double_meaning_policy,medium,2:281:4,فِيهِ,padanya (hari itu),di dalamnya,[in it],Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
double_meaning_policy,medium,2:284:22,مَن,siapa/orang,siapa,whom,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,2:31:7,عَلَى,atas/kepada,atas,to,Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
double_meaning_policy,medium,2:61:26,هُوَ,ia (sesuatu),Dia,[it],Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,2:90:17,مَن,orang/siapa,siapa,whom,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,30:28:9,مَّا,apa (hamba sahaya),apa,what,Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
double_meaning_policy,medium,30:56:8,فِي,dalam/menurut,dalam,by,Gunakan `dalam` sebagai default. Tukar kepada `pada` atau `tentang` hanya jika binaan jelas menuntut bacaan tempat atau topik.
double_meaning_policy,medium,32:3:5,هُوَ,ia/itu(Al Qur'an),Dia,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
double_meaning_policy,medium,34:12:13,مَن,orang/jin,siapa,who,Pilih `siapa` untuk fungsi soal/syarat; `orang/ orang yang` untuk fungsi relatif.
double_meaning_policy,medium,34:13:2,لَهُۥ,untuknya (Sulaiman),baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,34:17:3,بِمَا,dengan apa/dengan sebab,dengan apa,because,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
double_meaning_policy,medium,34:1:4,لَهُۥ,bagi-Nya-lah/memiliki,baginya,the One to Whom belongs,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
double_meaning_policy,medium,34:21:3,لَهُۥ,baginya (iblis),baginya,for him,Pilih `baginya` sebagai default; guna `kepadanya` hanya jika struktur menuntut arah/penerima.
