rank,token,occurrences,distinct_bm_glosses,ambiguity_score,category,current_dominant_bm,current_dominant_count,recommended_primary_bm,allowed_alternates_bm,top_english_refs,policy_note
13,وَلَوۡ,103,17,20.560,lexical,walaupun,22,walaupun,dan jika | dan kalau | dan sekiranya,"And if, even if, But if",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
14,كَانَ,323,23,20.321,copula,adalah,157,adalah,ada | menjadi,"is, was, he was","Untuk WBW, `adalah` lebih stabil daripada variasi gaya bebas."
15,بِمَآ,43,17,19.984,lexical,dengan apa,11,dengan apa,dengan/menurut apa,"in what, by what, with what",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
16,هُوَ,239,30,19.612,pronoun,Dia,129,Dia,dia | ia | Dialah,"He, it, he",Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
17,عَلَى,242,21,19.055,preposition,atas,131,atas,terhadap | di atas | kepada | atas/terhadap,"on, against, over",Sama seperti `عَلَىٰ`; kekalkan preposisi dasar.
18,مَّا,162,21,18.507,function-word,apa,79,apa,tidak | apa yang | tidak ada,"what, Not, not",Sama seperti `مَا`; pilih gloss nafi hanya jika konteks sintaks memaksa.
19,أَلَمۡ,72,15,18.491,lexical,tidakkah,20,tidakkah,apakah tidak | tidaklah | bukankah,"Do not, Did not, Have not",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
20,إِنَّهُۥ,141,17,18.245,emphasis-pronoun,sesungguhnya Dia,61,sesungguhnya Dia,sesungguhnya dia | sesungguhnya ia | sesungguhnya,"Indeed, He, Indeed, he, Indeed, it","Pilih rujukan pronomina mengikut antecedent, tetapi kekalkan penegas `sesungguhnya`."
21,أَن,461,29,17.957,subordinator,bahawa,315,bahawa,untuk | supaya | agar,"that, to, [that]",Gunakan `bahawa` sebagai lalai. Bentuk infinitif/tujuan sahaja patut menggeser kepada `untuk/supaya/agar`.
22,وَلَا,604,24,17.714,negation,dan tidak,329,dan tidak,dan jangan | dan janganlah | dan tidak ada,"and not, And (do) not, and (do) not",Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
23,حَيۡثُ,29,15,17.491,lexical,di mana saja,6,di mana saja,mana saja | arah,"wherever, where, (from) wherever",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
24,غَيۡرَ,39,14,17.294,lexical,tidak,9,tidak,selain | tidak/bukan | bukan/tidak | bukan,"not, other than, without",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
25,إِنۡ,91,12,17.115,conditional-particle,jika,29,jika,tidak lain | tidaklah | tidak,"Not, if, not","Bezakan bentuk syarat dan nafi berdasarkan konteks, tetapi kekalkan gloss stabil apabila ragu."
26,أَلَّا,43,16,16.952,lexical,bahawa tidak,18,bahawa tidak,untuk tidak | bahawa janganlah,"that not, That not, (is) that not",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
27,فِيٓ,86,16,16.806,preposition,dalam,31,dalam,pada | di | tentang,"in, concerning, among",Variasi hamzah/waqaf. Kekalkan gloss dasar `dalam` kecuali konteks memaksa bacaan topikal.
28,لِلَّهِ,85,12,16.772,lexical,bagi Allah,35,bagi Allah,kepada Allah | kepunyaan Allah,"to Allah, for Allah, (be) to Allah",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
29,إِلَّا,562,17,16.657,exception-particle,kecuali,366,kecuali,melainkan | selain | hanyalah,"except, but, Except",Kekalkan pengecualian sebagai sense utama.
30,كُنَّا,62,15,16.557,pronoun-or-clitic,adalah kami,28,adalah kami,kami | adalah Kami | kami adalah,"we were, we are, [we] were",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
31,فَقَالَ,27,14,16.471,pronoun-or-clitic,maka dia berkata,6,maka dia berkata,lalu dia berkata | maka berkata,"and he said, and said, And he said",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
32,كُلِّ,123,18,16.465,lexical,segala,68,segala,tiap-tiap | setiap,"every, all, (of) all",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
33,فَلَا,145,13,16.413,lexical,maka tidak,47,maka tidak,maka jangan | maka janganlah | maka tidak ada,"So (do) not, so (do) not, then (do) not",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
34,وَمَن,183,15,16.322,relative-pronoun,dan barang siapa,104,dan barang siapa,dan siapa | dan orang | dan barangsiapa,"And whoever, and whoever, and who",Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
35,مَنۡ,72,11,16.254,relative-pronoun,orang,33,orang,siapa | siapakah,"who, (him) who, (those) who",Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
36,فَمَا,69,16,16.203,lexical,maka tidak,37,maka tidak,,"then not, Then what, Then not",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
37,يَقُولُ,35,12,16.172,lexical,berkata,9,berkata,Dia berfirman | Dia berkata | dia berkata | ia berkata,"say, says, He says",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
38,لِي,40,12,16.166,lexical,bagiku,12,bagiku,kepadaku | aku | untukku,"for me, me, to Me",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
39,أَنۡ,57,13,15.788,subordinator,bahawa,25,bahawa,untuk | agar | supaya,"that, [that], to",Jangan terlalu cepat tukar kepada gloss tujuan; kekalkan bentuk dasar kecuali konteks jelas.
40,لَوۡ,59,10,15.737,lexical,sekiranya,19,sekiranya,jika | kalau | jikalau | seandainya,"If, if, that",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
41,يَدۡعُونَ,23,13,15.635,pronoun-or-clitic,mereka sembah,5,mereka sembah,(mereka) menyeru,"they invoke, they call, inviting",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
42,يُرِيدُ,38,15,15.623,lexical,menghendaki,17,menghendaki,Dia kehendaki,"He intends, intends, desire",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
43,يَعۡقِلُونَ,21,13,15.605,pronoun-or-clitic,mereka berakal,4,mereka berakal,mereka memahami,"understand, use reason, who use reason",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
44,هَـٰٓؤُلَآءِ,38,16,15.339,pronoun-or-clitic,mereka itu,17,mereka itu,mereka ini,"these, These, (to) these",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
45,فِيهَا,183,25,15.333,prepositional-pronoun,di dalamnya,128,di dalamnya,padanya | ke dalamnya,"therein, in it, in them",Kekalkan gloss lokatif sebagai default.
46,مِّمَّا,50,13,15.234,lexical,dari apa,24,dari apa,dari apa yang | daripada apa,"of what, from what, about what",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
47,وَمَنۡ,46,9,15.195,connector,dan barang siapa,13,dan barang siapa,dan siapakah | dan siapa | dan barangsiapa | dan orang-orang | dan orang,"And who, and whoever, and who",Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
48,وَعَمِلُواْ,53,11,15.161,connector,dan mereka beramal,23,dan mereka beramal,dan beramal | dan mereka berbuat/beramal,"and do, and did, and they do",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
49,كُلَّ,49,12,15.140,pronoun-or-clitic,setiap,15,setiap,segala | tiap-tiap,"every, all, each",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
50,بِٱلۡحَقِّ,47,13,15.041,lexical,dengan kebenaran,20,dengan kebenaran,dengan benar,"in truth, the truth, with the truth",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
51,أَرۡسَلۡنَا,41,11,14.832,pronoun-or-clitic,Kami telah mengutus,14,Kami telah mengutus,Kami mengutus | Kami utus,"We sent, [We] sent, We (had) sent",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
52,مَآ,117,15,14.732,function-word,apa,68,apa,tidak | apa yang,"what, Not, (of) what","Defaultkan kepada makna leksikal yang stabil, bukan perluasan frasa."
53,لَيۡسَ,38,12,14.568,lexical,tidak,12,tidak,tidak ada | tidak/bukan,"not, Not, Not is",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
54,أَشَدُّ,18,12,14.525,lexical,lebih/sangat,3,lebih/sangat,sangat,"(are) stronger, (is) more severe, (were) stronger",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
55,فِيهِ,98,16,14.389,prepositional-pronoun,di dalamnya,59,di dalamnya,padanya | tentang itu,"in it, therein, [in it]",Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
56,ٱلصَّـٰلِحَٰتِ,57,11,14.385,lexical,kebajikan/saleh,29,kebajikan/saleh,kebaikan | kebajikan | shaleh,"righteous deeds, [the] righteous deeds, the righteous deeds",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
57,قَدَّمَتۡ,14,13,14.317,lexical,perbuatan,2,perbuatan,,"have sent forth, sent forth, it has sent forth",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
58,فَهُوَ,28,12,14.075,pronoun-or-clitic,maka dia,10,maka dia,maka Dia | maka itu,"then it, then He, then he",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
59,عَلَيۡهِ,131,20,14.018,lexical,atasnya,90,atasnya,atasnya/kepadanya,"to him, for it, on him",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
60,بِكُلِّ,33,14,13.909,lexical,dengan segala,17,dengan segala,dengan/terhadap segala,"of every, (is) of every, on every",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
61,صَٰلِحٗا,28,11,13.845,lexical,kebajikan/saleh,11,kebajikan/saleh,kebaikan | saleh,"righteous (deeds), righteous deeds, righteousness",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
62,يَسۡتَطِيعُونَ,15,12,13.826,pronoun-or-clitic,mereka dapat,3,mereka dapat,,"they are able, they will be able, able",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
63,بَلۡ,96,10,13.791,lexical,bahkan,48,bahkan,bahkan/tetapi,"Nay, nay, But",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
64,بِٱلۡأٓخِرَةِ,18,11,13.759,lexical,dengan akhirat,4,dengan akhirat,kepada akhirat,"in the Hereafter, concerning the Hereafter",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
65,وَإِنَّهُۥ,24,10,13.596,connector,dan sesungguhnya ia,6,dan sesungguhnya ia,dan sesungguhnya dia | dan sesungguhnya ia (Al Qur'an),"And indeed, it, and indeed, he, And indeed, he",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
66,ءَايَةٗ,14,12,13.548,lexical,tanda-tanda,3,tanda-tanda,,"a Sign, a sign, a Verse",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
67,مَّن,49,12,13.449,relative-pronoun,orang,27,orang,barang siapa | siapa,"(are some) who, (is he) who, Whoever",Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
68,بِٱلۡبَيِّنَٰتِ,21,10,13.382,lexical,dengan keterangan-keterangan,5,dengan keterangan-keterangan,dengan keterangan yang nyata,"with clear proofs, with the clear Signs, with [the] clear signs",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
69,أَفَلَا,44,9,13.367,lexical,apakah maka tidak,19,apakah maka tidak,maka apakah tidak | apakah tidak,"Then will not, Then do not, Then, will not",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
70,ٱلۡأَوَّلِينَ,30,10,13.331,relative-pronoun,orang-orang dahulu,10,orang-orang dahulu,orang-orang terdahulu | terdahulu,"(of) the former (people), the former (people), the former",Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
71,خَلَقَ,57,10,13.325,lexical,menciptakan,27,menciptakan,telah menciptakan | Dia menciptakan,"created, He created, (has been) created",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
72,جَهَنَّمَ,46,7,13.222,lexical,neraka jahanam,16,neraka jahanam,neraka Jahannam | jahanam | neraka Jahanam,"Hell, (of) Hell, (to) Hell",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
73,ٱلۡأٓيَٰتِ,25,9,13.037,lexical,ayat-ayat,8,ayat-ayat,tanda-tanda | ayat-ayat itu | ayat-ayat/tanda-tanda,"the Signs, the Verses, the signs",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
74,تَكُن,14,11,12.990,lexical,ada,3,ada,,"be, you did, will be",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
75,وَجَعَلَ,29,9,12.919,connector,dan Dia menjadikan,12,dan Dia menjadikan,dan menjadikan | dan Dia telah menjadikan | dan telah menjadikan,"and made, and He has made, and (has) made",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
76,يَنظُرُونَ,19,9,12.840,pronoun-or-clitic,mereka menunggu,4,mereka menunggu,mereka menanti-nanti | mereka memandang | mereka melihat,"they wait, looking, they waiting",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
77,ٱلۡكِتَٰبِ,74,8,12.831,lexical,Kitab,34,Kitab,kitab | Al Kitab,"(of) the Book, the Book, the Scripture",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
78,لَا,616,16,12.791,negation,tidak,476,tidak,jangan | tidak ada | janganlah,"not, (do) not, (Do) not",Bezakan nafi dan larangan dari binaan fi'il; `tidak` kekal default.
79,عَلَيۡكَ,50,9,12.742,lexical,atasmu,22,atasmu,atasmu/kepadamu | kepadamu,"to you, upon you, on you",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
80,ٱلۡحَقُّ,37,9,12.712,lexical,kebenaran,13,kebenaran,benar | hak,"the truth, (is) the truth, (is) the Truth",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
81,شَيۡـٔٗا,39,9,12.646,lexical,sesuatu,17,sesuatu,sesuatu/sedikitpun,"anything, (in) anything, a thing",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
82,أَنَّ,99,7,12.630,lexical,bahawasanya,56,bahawasanya,sesungguhnya | bahawa,"that, [that], Indeed",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
83,لَمۡ,89,15,12.606,lexical,tidak,62,tidak,,"not, Not, (do) not",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
84,ٱلۡأَلۡبَٰبِ,15,10,12.558,lexical,yang berakal,3,yang berakal,akal/fikiran,"(of) understanding, those of understanding, for those of understanding",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
85,كَٰفِرُونَ,15,10,12.558,relative-pronoun,orang-orang kafir,3,orang-orang kafir,orang-orang yang ingkar,"(are) disbelievers, disbelievers",Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
86,بِـَٔايَٰتِ,34,7,12.509,lexical,dengan ayat-ayat,14,dengan ayat-ayat,terhadap ayat-ayat | pada ayat-ayat | dengan/terhadap ayat-ayat | dengan/kepada ayat-ayat | kepada ayat-ayat,"in (the) Signs, (the) Signs, in (the) Verses",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
87,بِهَا,51,13,12.494,lexical,dengannya,32,dengannya,,"with it, therein, them",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
88,ٱلۡكِتَٰبَ,74,9,12.483,lexical,Kitab,29,Kitab,Al Kitab | kitab,"the Book, the Scripture, the book",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
89,بِٱللَّهِ,131,10,12.452,lexical,kepada Allah,78,kepada Allah,dengan Allah,"in Allah, by Allah, Allah",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
90,لَكَ,55,12,12.450,lexical,bagimu,30,bagimu,kepadamu,"for you, to you, you have",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
91,ٱتَّخَذُواْ,17,9,12.444,pronoun-or-clitic,mereka mengambil,4,mereka mengambil,(mereka) mengambil/menjadikan,"take, took, have they taken",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
92,بَلَىٰ,14,10,12.432,lexical,ya benar,3,ya benar,,"Yes, Nay, Yes, indeed",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
93,وَهُوَ,169,16,12.420,connector,dan Dia,120,dan Dia,dan dia,"And He, and He, while he",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
94,أَوۡلِيَآءَ,20,9,12.337,lexical,pemimpin,6,pemimpin,pelindung | pelindung-pelindung,"(as) allies, protectors, (the) friends",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
95,لَنَا,54,11,12.335,pronoun-or-clitic,bagi kami,31,bagi kami,untuk kami,"for us, us, we have",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
96,إِلَى,140,15,12.274,preposition,kepada,101,kepada,ke | sampai,"to, [to], towards",Defaultkan kepada `kepada`.
97,ضَلَّ,18,9,12.257,lexical,sesat,5,sesat,ia sesat | ia telah sesat,"goes astray, has strayed, he went astray (from)",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
98,لَهَا,33,9,12.242,lexical,baginya,12,baginya,kepadanya | padanya,"for it, to it, for her",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
99,كُلّٞ,19,10,12.190,lexical,masing-masing,6,masing-masing,semuanya,"All, each, all",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
100,رَبِّ,80,8,12.140,lexical,ya Tuhanku,43,ya Tuhanku,Tuhan | Tuhanku,"My Lord, (the) Lord, O my Lord",Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
